"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: listSize","Param: listType","Param: maxItems"
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,156.580459,2.281793,"us/op",1000,LinkedListShuffled,10
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,159.063665,3.532560,"us/op",1000,LinkedListShuffled,100
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,158.684256,4.420060,"us/op",1000,LinkedListShuffled,250
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,28.526623,0.585559,"us/op",1000,LinkedListSorted,1
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,27.235039,2.097353,"us/op",1000,LinkedListSorted,5
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,27.581623,0.593920,"us/op",1000,LinkedListSorted,10
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,28.381458,0.629725,"us/op",1000,LinkedListSorted,100
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,28.568239,0.845646,"us/op",1000,LinkedListSorted,250
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,2126.968965,40.542302,"us/op",10000,ArrayShuffled,1
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,2197.352297,103.633006,"us/op",10000,ArrayShuffled,5
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,2131.101421,14.592164,"us/op",10000,ArrayShuffled,10
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,2115.948024,33.297238,"us/op",10000,ArrayShuffled,100
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,2171.215401,29.658611,"us/op",10000,ArrayShuffled,250
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,2423.031274,36.244328,"us/op",10000,LinkedListShuffled,1
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,2410.992536,25.401251,"us/op",10000,LinkedListShuffled,5
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,2414.872025,52.401125,"us/op",10000,LinkedListShuffled,10
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,2412.214164,24.456927,"us/op",10000,LinkedListShuffled,100
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,2426.807773,63.462335,"us/op",10000,LinkedListShuffled,250
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,425.713585,81.569957,"us/op",10000,LinkedListSorted,1
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,411.132934,40.796840,"us/op",10000,LinkedListSorted,5
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,403.331623,49.164654,"us/op",10000,LinkedListSorted,10
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,401.164900,54.613015,"us/op",10000,LinkedListSorted,100
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,399.529225,45.069228,"us/op",10000,LinkedListSorted,250
"com.zigurs.karlis.utils.sort.SortOperations.collectionsSort","avgt",1,9,50008.356380,12883.799162,"us/op",100000,ArrayShuffled,1
